conversation_id,text
1612261978336018432,"ela excluiu as postagens todas sobre Brasília aff, ia mandar pra uma página que ta expondo a identidade dos terroristas"
1612281596719300608,"Isso que aconteceu em Brasília hj e completamente absurdo. Qual a finalidade disso, gente?! Esse povo acha mesmo que o Exército vai tomar o poder?! Que loucura é essa?????"
1612277979643625472,Eu tô me esforçando ao máximo pra ignorar essa parada toda que rolou hoje mas é muito difícil ainda mais pensando que com ctz amanhã vai ter mais policial na Paulista pra barrar manifestante do que em Brasília pra barrar terrorista
1612238930933608448,Os caras fizeram tudo pra insuflar o caos e vamos ganhar uma GLO aqui em Brasília.
1612278387808026625,Eu chorei vendo as reportagens da destruição em Brasília. pensive face pensive face pensive face
1612275094008504320,Compartilhem! #BrasilWasSloten #Fraude #Brazil #brasilia #
1612264767359705088,"tava na praia e na hr q li a notícia da palhaçada que tá tendo em Brasília eu voltei pra casa, acabou o humor do dia, sobra apenas um domingo de estresse"
1612252874070687749,Todas as autoridades dos três poderes já deveriam estar reunidos agora dentro dos palácios destruídos para começar as ações contra os crimes realizados por bandidos brasileiros em Brasília.
1612261232727261191,Que vergonha pro Brasil o mundo inteiro repercutindo o que aconteceu hoje em Brasília
1612257286935674881,queria ser adv criminalista em brasilia agora loudly crying face
1612263136526045184,"O governo precisa confiscar todos os bens dos terroristas que depredaram Brasília urgentemente! Eles precisam pagar! A justiça tem que deixar eles sem nenhum centavo, falidos, sem casa, sem NADA! Quem sabe assim eles abrem a boca sobre os mandantes!"
1612239729910595586,um dragão na minha mão e já estaria tudo resolvido em brasília
1612250685424164869,"Os Senhores falam tudo, fingindo serem democratas, mas não respeitam o Povo que busca esclarecimentos nas ruas, sob sol e chuva. A invasão de Brasília hoje, foi resultado disso. Jornalistas da Globo chamam a multidão de vandalos, Criminosos, Bolsonaristas."
1612279228132888577,"Os atos de hoje perpetrados em Brasília, longe de configurarem direito de manifestação ou liberdade de expressão, são atos estritamente criminosos por força de expressa previsão legal, além de que atentam contra a vontade da maioria popular, a Constituição e o Estado de Direito.+"
1612276427046404096,"O que mais me dói é ver o livro da nossa constituição furtado e exibido ao meio de golpistas clamando aquilo que fere a nossa democracia. No museu nem se fale, totalmente destruído... #brasilia"
1612263436230230016,Aparentemente o QG de Brasília está sendo desmotado. grimacing face
1612250992787038210,"Se você perdeu, venha assistir o Plantão 7x1 com , e comentando sobre os atos terroristas ocorridos em Brasília hoje. link Link: Daqui a pouco chega no feed"
1611729955766865920,"Ação terrorista hoje em Brasília, só reforçou a ida do Ex-presidente vagabundo, pra CADEIA!! clown face lying face face with tears of joy face with tears of joy face with tears of joy"
1612273186350981121,"orange circle police car light ZOEIRA URGENTE!!! | Moraes se manifesta sobre protestos em Brasília neste domingo (8) e manda recado. ""Quero meu vibrador de volta"". #LulaLadrao #Bolsonaro #Brasil #Brasilia #BrasilNasRuas #Peru #Chile #Argentina #Venezuela #BrasilNasRuas #CongressoBrasil #Senadobrasil"
1612294231288328192,"Após o afastamento do governador, Brasília grita 08/01/2023 #Lulaladrão"
1612264673541345287,Eu em Brasília no meio de uma reunião do congresso neutral face neutral face neutral face e o Congresso volcano volcano volcano volcano volcano
1611837733965819906,Aproveita e debatam sobre o impacto e a responsabilidade que líderes evangélicos tem através de seus apoios nesse movimento golpista e terrorista que atingiu Brasília hj!! Aqui em Florianópolis eu os cobrarei pessoalmente!!
